Divs,Source,VAP,Lemma,VAP_values,ADV,Target,Target_lemma,Phrase Complete
meditation_3,je,connais,connaître,7,aussi,que celui duquel je dépens,que celui duquel je dépens,"c’est à dire que lorsque je fais réflexion sur moi, non seulement je connais que je suis une chose imparfaite, incomplète, et dépendante d’autrui, qui tend et qui aspire sans cesse à quelque chose de meilleur et de plus grand que je ne suis, mais je connais aussi en même temps, que celui duquel je dépens possède en soi toutes ces grandes choses auxquelles j’aspire, et dont je trouve en moi les idées, non pas indéfiniment, et seulement en puissance, mais qu’il en jouit en effet, actuellement, et infiniment, et ainsi qu’il est Dieu :"
meditation_3,je,reconnais,reconnaître,6.85,NAN,"qu’ il ne serait pas possible que ma nature fût telle qu’ elle est , c’ est à dire que j’ eusse en moi l’ idée d’ un Dieu , si Dieu n’ existait véritablement , ce même Dieu , dis -je , duquel l’ idée est en moi , c’ est à dire qui possède toutes ces hautes perfections , dont notre esprit peut bien avoir quelque idée sans pourtant les comprendre toutes , qui n’ est sujet à aucuns défauts , et qui n’ a rien de toutes les choses qui marquent quelque imperfection .","qu’ il ne être pas possible que mon nature être tel qu’ lui être , c’ est à dire que j’ avoir en moi l’ idée d’ un dieu , si Dieu n’ exister véritablement , ce même dieu , dire je , duquel l’ idée être en moi , c’ est à dire qui posséder tout ce haut perfection , dont notre esprit pouvoir bien avoir quelque idée sans pourtant le comprendre tout , qui n’ être sujet à aucun défaut , et qui n’ avoir rien de tout le chose qui marquer quelque imperfection .","Et toute la force de l’argument dont j’ai ici usé pour prouver l’existence de Dieu, consiste en ce que je reconnais qu’il ne serait pas possible que ma nature fût telle qu’elle est, c’est à dire que j’eusse en moi l’idée d’un Dieu, si Dieu n’existait véritablement, ce même Dieu, dis-je, duquel l’idée est en moi, c’est à dire qui possède toutes ces hautes perfections, dont notre esprit peut bien avoir quelque idée sans pourtant les comprendre toutes, qui n’est sujet à aucuns défauts, et qui n’a rien de toutes les choses qui marquent quelque imperfection."
meditation_4,j’,remarqué,remarquer,7,exactement,"qu’ il y a fort peu de choses , que l’ on connaisse avec certitude touchant les choses corporelles , qu’ il y en a beaucoup plus qui nous sont connues touchant l’ esprit humain , et beaucoup plus encore de Dieu même , que maintenant je détournerai sans aucune difficulté ma pensée de la considération des choses sensibles , ou imaginables , pour la porter à celles qui étant dégagées de toute matière sont purement intelligibles","qu’ il y avoir fort peu de chose , que l’ on connaître avec certitude toucher le chose corporel , qu’ il y en avoir beaucoup plus qui nous être connaître toucher l’ esprit humain , et beaucoup plus encore de Dieu même , que maintenant je détourner sans aucun difficulté mon pensée de le considération de chose sensible , ou imaginable , pour le porter à celui qui être dégager de tout matière être purement intelligible","Je me suis tellement accoutumé ces jours passés à détacher mon esprit des sens, et j’ai si exactement remarqué qu’il y a fort peu de choses, que l’on connaisse avec certitude touchant les choses corporelles, qu’il y en a beaucoup plus qui nous sont connues touchant l’esprit humain, et beaucoup plus encore de Dieu même, que maintenant je détournerai sans aucune difficulté ma pensée de la considération des choses sensibles, ou imaginables, pour la porter à celles qui étant dégagées de toute matière sont purement intelligibles."
meditation_4,je,reconnais,reconnaître,6.85,premièrement,qu’ il est impossible que jamais il me trompe,qu’ il être impossible que jamais il me trompe,"Car premièrement je reconnais qu’il est impossible que jamais il me trompe, puisqu’en toute fraude et tromperie il se rencontre quelque sorte d’imperfection :"
meditation_4,je,connais,connaître,7,Ainsi,"que l’ erreur , en tant que telle , n’ est pas quelque chose de réel qui dépende de Dieu , mais que c’ est seulement un défaut ;","que l’ erreur , en tant que tel , n’ être pas quelque chose de réel qui dépendre de Dieu , mais que c’ être seulement un défaut ;","Ainsi je connais que l’erreur, en tant que telle, n’est pas quelque chose de réel qui dépende de Dieu, mais que c’est seulement un défaut ; et partant que je n’ai pas besoin pour faillir de quelque puissance qui m’ait été donnée de Dieu particulièrement pour cet effet, mais qu’il arrive que je me trompe,"
meditation_4,je,trouve,trouver,5.85,NAN,"qu’ elles dépendent du concours de deux causes , à savoir , de la puissance de connaître qui est en moi","qu’ lui dépendre de concours de deux cause , à savoir , de le puissance de connaître qui être en moi","En suite de quoi me regardant de plus près, et considérant quelles sont mes erreurs, (lesquelles seules témoignent qu’il a en moi de l’imperfection) je trouve qu’elles dépendent du concours de deux causes, à savoir, de la puissance de connaître qui est en moi ; et de la puissance d’élire, ou bien de mon libre arbitre ;"
meditation_4,je,trouve,trouver,5.85,NAN,"qu’ elle est d’ une fort petite étendue , et grandement limitée","qu’ lui être d’ un fort petit étendue , et grandement limité","Car, par exemple, si je considère la faculté de concevoir qui est en moi, je trouve qu’elle est d’une fort petite étendue, et grandement limitée, et tout ensemble je me représente l’idée d’une autre faculté beaucoup plus ample, et même infinie ;"
meditation_4,je,connais,connaître,7,NAN,qu’ elle appartient à la nature de Dieu,qu’ lui appartenir à le nature de Dieu,"et de cela seul que je puis me représenter son idée, je connais sans difficulté qu’elle appartient à la nature de Dieu."
meditation_4,je,reconnais,reconnaître,6.85,NAN,"que ni la puissance de vouloir , laquelle j’ ai reçue de Dieu , n’ est point d’ elle-même la cause de mes erreurs","que ni le puissance de vouloir , lequel j’ avoir recevoir de Dieu , n’ être point d’ lui-même le cause de mon erreur","De tout ceci je reconnais que ni la puissance de vouloir, laquelle j’ai reçue de Dieu, n’est point d’elle-même la cause de mes erreurs : car elle est très ample et très parfaite en son espèce ;"
meditation_4,je,suppose,supposer,3.29,ici,"que je ne connais encore aucune raison , qui me persuade plutôt l’ un que l’ autre : d’ où il suit que je suis entièrement indifférent à le nier , ou à l’ assurer , ou bien même à m’ abstenir d’ en donner aucun jugement","que je ne connaître encore aucun raison , qui me persuader plutôt l’ un que l’ autre : d’ où il suivre que je être entièrement indifférent à le nier , ou à l’ assurer , ou bien même à m’ abstenir d’ en donner aucun jugement","Et je suppose ici que je ne connais encore aucune raison, qui me persuade plutôt l’un que l’autre : d’où il suit que je suis entièrement indifférent à le nier, ou à l’assurer, ou bien même à m’abstenir d’en donner aucun jugement."
meditation_4,j’,remarqué,remarquer,7,NAN,que l’ on en pouvait douter en quelque sorte,que l’ on en pouvoir douter en quelque sorte,"Ce que j’ai suffisamment expérimenté ces jours passés, lorsque j’ai posé pour faux, tout ce que j’avais tenu auparavant pour très-véritable, pour cela seul que j’ai remarqué que l’on en pouvait douter en quelque sorte."
meditation_4,Je,vois,voir,5,néanmoins,"qu’ il était aisé à Dieu de faire en sorte que je ne me trompasse jamais , quoique je demeurasse libre , et d’ une connaissance bornée , à savoir , en donnant à mon entendement une claire et distincte intelligence de toutes les choses dont je devais jamais délibérer , ou bien seulement s’ il eût si profondément gravé dans ma mémoire la résolution de ne juger jamais d’ aucune chose sans la concevoir clairement et distinctement , que je ne la pusse jamais oublier .","qu’ il être aisé à Dieu de faire en sorte que je ne me tromper jamais , quoique je demeurer libre , et d’ un connaissance borné , à savoir , en donner à mon entendement un clair et distinct intelligence de tout le chose dont je devoir jamais délibérer , ou bien seulement s’ il avoir si profondément graver dans mon mémoire le résolution de ne juger jamais d’ aucun chose sans le concevoir clairement et distinctement , que je ne le pouvoir jamais oublier .","Je vois néanmoins qu’il était aisé à Dieu de faire en sorte que je ne me trompasse jamais, quoique je demeurasse libre, et d’une connaissance bornée, à savoir, en donnant à mon entendement une claire et distincte intelligence de toutes les choses dont je devais jamais délibérer, ou bien seulement s’il eût si profondément gravé dans ma mémoire la résolution de ne juger jamais d’aucune chose sans la concevoir clairement et distinctement, que je ne la pusse jamais oublier."
meditation_5,je,connais,connaître,7,clairement,"qu’ une actuelle , et éternelle existence appartient à sa nature , que je connais que tout ce que je puis démontrer de quelque figure , ou de quelque nombre , appartient véritablement à la nature de cette figure , ou de ce nombre","qu’ un actuel , et éternel existence appartenir à son nature , que je connaître que tout ce que je pouvoir démontrer de quelque figure , ou de quelque nombre , appartenir véritablement à le nature de ce figure , ou de ce nombre","Et je ne connais pas moins clairement et distinctement, qu’une actuelle, et éternelle existence appartient à sa nature, que je connais que tout ce que je puis démontrer de quelque figure, ou de quelque nombre, appartient véritablement à la nature de cette figure, ou de ce nombre ;"
meditation_5,je,connais,connaître,7,clairement,"que tout ce que je puis démontrer de quelque figure , ou de quelque nombre , appartient véritablement à la nature de cette figure , ou de ce nombre","que tout ce que je pouvoir démontrer de quelque figure , ou de quelque nombre , appartenir véritablement à le nature de ce figure , ou de ce nombre","Et je ne connais pas moins clairement et distinctement, qu’une actuelle, et éternelle existence appartient à sa nature, que je connais que tout ce que je puis démontrer de quelque figure, ou de quelque nombre, appartient véritablement à la nature de cette figure, ou de ce nombre ;"
meditation_5,je,trouve,trouver,5.85,manifestement,"que l’ existence ne peut non plus être séparée de l’ essence de Dieu , que de l’ essence d’ un triangle rectiligne , la grandeur de ses trois angles égaux à deux droits : ou bien de l’ idée d’ une montagne , l’ idée d’ une vallée","que l’ existence ne pouvoir non plus être séparer de l’ essence de Dieu , que de l’ essence d’ un triangle rectiligne , le grandeur de son trois angle égal à deux droit : ou bien de l’ idée d’ un montagne , l’ idée d’ un vallée","Mais néanmoins lorsque j’y pense avec plus d’attention, je trouve manifestement que l’existence ne peut non plus être séparée de l’essence de Dieu, que de l’essence d’un triangle rectiligne, la grandeur de ses trois angles égaux à deux droits : ou bien de l’idée d’une montagne, l’idée d’une vallée ;"
meditation_5,j’,supposé,supposer,3.29,NAN,"qu’ il possède toutes sortes de perfections , puisque l’ existence en est une , mais qu’ en effet ma première supposition n’ était pas nécessaire","qu’ il posséder tout sorte de perfection , puisque l’ existence en être un , mais qu’ en effet mon premier supposition n’ être pas nécessaire","Et on ne doit pas dire ici qu’il est à la vérité nécessaire que j’avoue que Dieu existe, après que j’ai supposé qu’il possède toutes sortes de perfections, puisque l’existence en est une, mais qu’en effet ma première supposition n’était pas nécessaire ;"
meditation_5,j’,reconnu,reconnaître,6.85,NAN,que l’ existence est une perfection,que l’ existence être un perfection,Et cette nécessité est suffisante pour me faire conclure (après que j’ai reconnu que l’existence est une perfection) que cet être premier et souverain existe véritablement ;
meditation_5,je,reconnais,reconnaître,6.85,NAN,"que cette idée n’ est point quelque chose de feint ou d’ inventé , dépendant seulement de ma pensée , mais que c’ est l’ image d’ une vraie , et immuable nature","que ce idée n’ être point quelque chose de feindre ou d’ inventer , dépendre seulement de mon pensée , mais que c’ être l’ image d’ un vrai , et immuable nature","Car en effet je reconnais en plusieurs façons que cette idée n’est point quelque chose de feint ou d’inventé, dépendant seulement de ma pensée, mais que c’est l’image d’une vraie, et immuable nature."
meditation_5,je,vois,voir,5,clairement,"qu’ il est nécessaire qu’ il ait été auparavant de toute éternité , et qu’ il soit éternellement à l’ avenir","qu’ il être nécessaire qu’ il avoir être auparavant de tout éternité , et qu’ il être éternellement à l’ avenir","Et posé qu’il y en ait un maintenant qui existe, je vois clairement qu’il est nécessaire qu’il ait été auparavant de toute éternité, et qu’il soit éternellement à l’avenir."
meditation_5,j’,reconnu,reconnaître,6.85,aussi,qu’ il y a un Dieu,qu’ il y avoir un dieu,"Mais après que j’ai reconnu qu’il y a un Dieu, parce qu’en même temps j’ai reconnu aussi que toutes choses dépendent de lui, et qu’il n’est point trompeur, et qu’en suite de cela j’ai jugé que tout ce que je conçois clairement et distinctement ne peut manquer d’être vrai ;"
