Divs,Phrases
L1_CH_01,"J’ai été frappé d’un nouveau système, dont j’ai lu quelque chose dans les journaux des savants de Paris, de Leipsig et de Hollande, et dans le merveilleux dictionnaire de M. Bayle article de Rorarius, et depuis je crois voir une nouvelle face de l’intérieur des choses."
L1_CH_01,"Ce système paraît allier Platon avec Démocrite, Aristote avec Descartes, les scolastiques avec les modernes, la théologie et la morale avec la raison."
L1_CH_01,Il semble qu’il prend le meilleur de tous côtés et que puis après il va plus loin qu’on n’est allé encore.
L1_CH_01,"J’y trouve une explication intelligible de l’union de l’âme et du corps, chose dont j’avais désespéré auparavant."
L1_CH_01,Je trouve les vrais principes des choses dans les unités des substances que ce système introduit et dans leur harmonie préétablie par la substance primitive.
L1_CH_01,"J’y trouve une simplicité et une uniformité surprenantes, en sorte que l’on peut dire que c’est partout et toujours la même chose aux degrés de perfection près."
L1_CH_01,"Je vois maintenant ce que Platon entendait, quand il prenait la matière pour un être imparfait et secondaire ; ce qu’Aristote voulait dire par son antéléchie ; ce que c’est que la promesse que Démocrite lui-même faisait d’une autre vie, chez Pline ; jusqu’où les sceptiques avaient raison en déclamant contre les sens ; comment les animaux sont en effet des automates, suivant Descartes, et comment ils ont pourtant des âmes et du sentiment selon l’opinion du genre humain ; comment il faut expliquer raisonnablement ceux qui ont logé vie et perception en toutes choses, comme Cardan, Campanella, et mieux qu’eux feu Mme la comtesse de Connaway, platonicienne, et notre ami feu M. François Mercure Van Helmont (quoique d’ailleurs hérissé de paradoxes inintelligibles) avec son ami feu M. Henri Morus ; comment les lois de la nature (dont une bonne partie était ignorée avant ce système) tirent leur origine des principes supérieurs à la matière et que pourtant tout se fait mécaniquement dans la matière, en quoi les auteurs spiritualisant, que je viens de nommer, avaient manqué avec leurs archées, et même les cartésiens, en croyant que les substances immatérielles changeaient sinon la force, au moins la direction ou détermination des mouvements des corps, au lieu que l’âme et le corps gardent parfaitement leurs lois, chacun les siennes, selon le nouveau système, et que néanmoins l’un obéit à l’autre autant qu’il le faut."
L1_CH_01,"Enfin c’est depuis que j’ai inédite ce système, que j’ai trouvé comment les âmes des bêtes et leurs sensations ne nuisent point à l’immortalité des âmes humaines, ou plutôt comment rien n’est plus propre à établir notre immortalité naturelle, que de concevoir que toutes les âmes sont impérissables (morte carent animæ), sans qu’il y ait pourtant des métempsycoses à craindre, puisque non seulement les âmes, mais encore les animaux demeurent et demeureront vivants, sentants, agissants : c’est partout comme ici, et toujours, et partout comme chez nous, suivant ce que je vous ai déjà dit."
L1_CH_01,"Si ce n’est que les états des animaux sont plus ou moins parfaits et développés sans qu’on ait jamais besoin d’âmes tout à fait séparées, pendant que néanmoins nous avons toujours des esprits aussi purs qu’il se peut, nonobstant des organes qui ne sauraient troubler par aucune influence les lois de notre spontanéité."
L1_CH_01,"Je trouve le vide et les atomes exclus bien autrement que par le sophisme des cartésiens, fondé dans la prétendue coïncidence du corps et de l’étendue."
L1_CH_01,"Je vois toutes choses réglées et ornées au delà de tout ce qu’on a conçu jusqu’ici, la matière organique partout, rien de vide, stérile, négligé, rien de trop uniforme, tout varié, mais avec ordre, et, ce qui passe l’imagination, tout l’univers en raccourci, mais d’unc vue différente dans chacune de ses parties, et même dans chacune de ses unités de substances."
L1_CH_01,"Outre cette nouvelle analyse des choses, j’ai mieux compris celle des notions ou idées et des vérités."
L1_CH_01,"J’entends ce que c’est qu’idée vraie, claire, distincte, adéquate, si j’ose adopter ce mot."
L1_CH_01,"J’entends quelles sont les vérités primitives et les vrais axiomes, la distinction des vérités nécessaires et de celles de fait, du raisonnement des hommes des consentions des bêtes qui en sont une ombre."
L1_CH_01,"Enfin vous serez surpris, Monsieur, d’entendre tout ce que j’ai à vous dire et surtout de comprendre combien la connaissance des grandeurs et des perfections de Dieu en est relevée."
L1_CH_01,"Car je ne saurais dissimuler à vous, pour qui je n’ai rien eu de caché, combien je suis pénétré maintenant d’admiration, et (si nous pouvons oser nous servir de ce terme) d’amour pour cette souveraine source de choses et de beautés, ayant trouvé que celle que ce système découvre, passent tout ce qu’on a conçu jusqu’ici)."
L1_CH_01,"Vous savez que j’étais allé un peu trop loin ailleurs et que je commençais à pencher du côté des spinozistes, qui ne laissent qu’une puissance infinie à Dieu, sans reconnaître ni perfection, ni sagesse à son égard, et, méprisant la recherche des causes finales, dérivent tout d’une nécessité brute."
L1_CH_01,Mais ces nouvelles lumières m’en ont guéri ; et depuis ce temps-la je prends le nom de Théophile.
L1_CH_01,"J’ai lu le livre de ce célèbre Anglais, dont vous venez de parler."
L1_CH_01,"Je l’estime beaucoup, et j’y ai trouvé de belles choses ; mais il me semble qu’il faut aller plus avant et même s’écarter de ses sentiments, lorsqu’il en a pris, qui nous bornent plus qu’il ne faut, et ravalent un peu non seulement la condition de l’homme, mais encore celle de l’univers."
L1_CH_01,Vous m’étonnez en effet avec toutes les merveilles dont vous me faites un récit un peu trop avantageux pour que je les puisse croire facilement.
L1_CH_01,Cependant je veux espérer qu’il y aura quelque chose de solide parmi tant de nouveautés dont ; vous me voulez régaler.
L1_CH_01,"En ce cas, vous me trouverez fort docile."
L1_CH_01,Vous savez que c’était toujours mon humeur de me rendre à la raison et que je prenais quelquefois le nom de Philalète.
L1_CH_01,"C’est pourquoi nous nous servirons maintenant, s’il vous plaît, de ces deux noms, qui ont tant de rapport."
L1_CH_01,"Il y a moyen de venir à l’épreuve, car, puisque vous avez lu le livre du célèbre Anglais, qui me donne tant de satisfaction, et qu’il traite une bonne partie des matières dont vous venez de parler et surtout l’analyse de nos idées et connaissances, ce sera le plus court d’en suivre le fil et de voir ce que vous aurez à remarquer."
L1_CH_01,J’approuve votre proposition.
L1_CH_01,Voici le livre.
L1_CH_01,Je l’ai si bien lu que j’en ai retenu jusqu’aux expressions que j’aurai soin de suivre.
L1_CH_01,Ainsi je n’aurai point besoin de recourir au livre qu’en quelques rencontres Où nous le jugerons nécessaire.
L1_CH_01,"Nous parlerons premièrement de l’origine des idées ou notions (livre I) puis des différentes sortes d’idées (livre II) et des mots qui servent à les exprimer (livre III), enfin des connaissances et vérités qui en résultent (livre IV), et c’est cette dernière partie qui nous occupera le plus."
L1_CH_01,"Quant à l’origine des idées, je crois avec cet auteur et quantité d’habiles gens qu’il n’y en a point d’innées, non plus que de principes innés."
L1_CH_01,"Et pour réfuter l’erreur de ceux qui en admettent, il suffit de montrer, : comme il paraîtra dans la suite, qu’on n’en a point besoin et que les hommes peuvent acquérir toutes leurs connaissances sans le secours d’aucune impression innée."
L1_CH_01,"Vous savez, Philalèthe, que je suis d’un autre sentiment depuis longtemps, que j’ai toujours été comme je suis encore pour l’idée innée de Dieu, que M. Descartes a soutenue, et par conséquent pour d’autres idées innées et qui ne nous sauraient venir des sens."
L1_CH_01,"Maintenant je vais encore plus loin, en conformité du nouveau système, et je crois même que toutes les pensées et actions de notre âme viennent de son propre fond, sans pouvoir lui être données par les sens, comme vous allez voir dans la suite."
L1_CH_01,"Mais à présent je mettrai cette recherche à part et, m’accommodant aux expressions reçues, puisqu’en effet elles sont bonnes et soutenables et qu’on peut dire, dans un certain sens que les sens externes sont cause en partie de nos pensées, j’examinerai comment on doit dire à mon avis, encore dans le système commun (parlant de l’action des corps sur l’âme, comme les eopernieiens parlent avec les autres hommes du mouvement du soleil, et avec fondement), qu’il y a des idées et des principes qui ne nous viennent point des sens et que nous trouvons en nous sans les former, quoique les sens nous donnent occasion de nous en apercevoir."
L1_CH_01,"Je m’imagine que votre habile auteur a remarqué que, sous le nom de principes innés, on soutient souvent ses préjugés et qu’on veut s’exempter de la peine des discussions, et que cet abus aura animé son zèle contre cette supposition."
L1_CH_01,"Il aura voulu combattre la paresse et la manière superficielle de penser de ceux qui, sous le prétexte spécieux d’idées innées et de vérités gravées naturellement dans l’esprit où nous donnons facilement notre consentement, ne se soucient point de rechercher et d’examiner les sources, les liaisons et la certitude de ces connaissances."
L1_CH_01,"En cela je suis entièrement de son avis, et je vais même plus avant."
L1_CH_01,"Je voudrais qu’on ne bornât point notre analyse, qu’on donnât les définitions de tous les termes qui en sont capables, et qu’on démontrât ou donnât le moyen de démontrer tous les axiomes qui ne sont point primitifs, sans distinguer l’opinion que les hommes en ont, et sans se soucier s’ils y donnent leur consentement ou non."
L1_CH_01,Il y aurait en cela plus d’utilité qu’on ne pense.
L1_CH_01,Mais il semble que l’auteur a été porté trop loin d’un autre côté par son zèle fort louable d’ailleurs.
L1_CH_01,"Il n’a pas assez distingué à mon avis l’origine des vérités nécessaires, dont la source est dans l’entendement, d’avec celles de fait qu’on tire des expériences des sens et même des perceptions confuses qui sont en nous."
L1_CH_01,"Vous voyez donc, Monsieur, que je n’accorde pas ce que vous mettez en fait, que nous pouvons acquérir toutes nos connaissances sans avoir besoin d’impressions innées."
L1_CH_01,Et la suite fera voir qui de nous a raison.
L1_CH_01,Nous l’allons voir en effet.
L1_CH_01,"Je vous avoue, mon cher Théophile, qu’il n’y a point d’opinion plus communément reçue que celle qui établit qu’il y a certains principes de la vérité desquels les hommes conviennent généralement ; c’est pourquoi ils sont appelés notions communes, ϰοιναὶ ἔννοιαι ; d’où l’on infère qu’il faut que ces principes-là soient autant d’impressions que nos esprits reçoivent avec l’existence."
L1_CH_01,"Mais, quand le fait serait certain, qu’il y aurait des principes dont tout le genre humain demeure d’accord, ce consentement universel ne prouverait point qu’ils soient innés, si l’on peut montrer, comme je le crois, une autre voie par laquelle les hommes ont pu arriver à cette uniformité de sentiment."
L1_CH_01,"Mais ce qui est bien pis, ce consentement universel ne se trouve guère, non pas même par rapport à ces deux célèbres principes spéculatifs (car nous parlerons par après de ceux de pratique), que tout ce qui est, est ; et qu’il est impossible qu’une chose soit ou ne soit pas en même temps ; car il y a une grande partie du genre humain à qui ces deux propositions, qui passeront sans doute pour vérités nécessaires et pour des axiomes chez vous, ne sont pas même connues."
L1_CH_01,"Je ne fonde pas la certitude des principes innés sur le consentement universel, car je vous ai déjà dit, Philalèthe, que mon avis est qu’on doit travailler à pouvoir démontrer tous les axiomes qui ne sont point primitifs."
L1_CH_01,"Je vous accorde aussi qu’un consentement fort général, mais qui n’est pas universel, peut venir d’une tradition, répandue par tout le genre humain, comme l’usage de la fumée du tabac a été reçu presque par tous les peuples en moins d’un siècle, quoiqu’on ait trouvé quelques insulaires, qui, ne connaissant pas même le feu, n’avaient garde de fumer."
L1_CH_01,"C’est ainsi que quelques habiles gens, même parmi les théologiens, mais du parti d’Arminius, ont cru que la connaissance de la divinité venait d’une tradition très ancienne et fort générale ; et je veux croire en effet que l’enseignement a confirmé et rectifié cette connaissance."
L1_CH_01,Il paraît pourtant que la nature a contribué à y mener sans la doctrine ; les merveilles de l’univers ont fait penser à un pouvoir supérieur.
L1_CH_01,"On a vu un enfant né sourd et muet marquer de la vénération pour la pleine lune, et l’on a trouvé des nations, qu’on ne voyait pas avoir appris autre chose d’autres peuples, craindre des puissances invisibles."
L1_CH_01,"Je vous avoue, mon cher Philalèthe, que ce n’est pas encore l’idée de Dieu, telle que nous avons et que nous demandons ; mais cette idée même ne laisse pas d’être dans le fond de nos âmes, sans y être mise, comme nous verrons."
L1_CH_01,Et les lois éternelles de Dieu y sont en partie gravées d’une manière encore plus lisible et par une espèce d’instinct.
L1_CH_01,Mais ce sont des principes de pratique dont nous aurons aussi occasion de parler.
L1_CH_01,"Il faut avouer, cependant, le penchant que nous avons à reconnaître l’idée de Dieu est dans la nature humaine."
L1_CH_01,"Et, quand on en attribuerait le premier enseignement à la révélation, toujours la facilité que les hommes ont témoignée à recevoir cette doctrine vient du naturel de leurs âmes."
L1_CH_01,Mais nous jugerons dans la suite que la doctrine externe ne fait qu’exciter ici ce qui est en nous.
L1_CH_01,Je conclus qu’un consentement assez général parmi les hommes est un indice et non pas une démonstration d’un principe inné ; mais que la preuve exacte et décisive de ces principes consiste à faire voir que leur certitude ne vient que de ce qui est en nous.
L1_CH_01,"Pour répondre encore à ce que vous dites contre l’approbation générale qu’on donne aux deux grands principes spéculatifs, qui sont pourtant des mieux établis, je puis vous dire que, quand même ils ne seraient pas connus, ils ne laisseraient pas d’être innés, parce qu’on les reconnaît dès qu’on les a entendus."
L1_CH_01,"Mais j’ajouterai encore que, dans le fond, tout le monde les connaît, et qu’on se sert à tout moment du principe de contradiction (par exemple) sans le regarder distinctement."
L1_CH_01,"Il n’y a point de barbare qui, dans une affaire qu’il trouve sérieuse, ne soit choqué de la conduite d’un menteur qui se contredit."
L1_CH_01,Ainsi on emploie ces maximes sans les envisager expressément.
L1_CH_01,"Et c’est à peu près comme on a virtuellement dans l’esprit les propositions supprimées dans les enthymèmes, qu’on laisse à l’écart, non seulement au dehors, mais encore dans notre pensée."
L1_CH_01,"Ce que vous dites de ces connaissances virtuelles et de ces suppressions intérieures me surprend, car de dire qu’il y a des vérités imprimées dans l’âme qu’elle n’aperçoit point, c’est, ce me semble, une véritable contradiction."
L1_CH_01,"Si vous êtes dans ce préjugé, je ne m’étonne pas que vous rejetiez les connaissances innées."
L1_CH_01,"Mais je suis étonné comment il ne vous est pas venu dans la pensée que nous avons une infinité de connaissances, dont nous ne nous apercevons pas toujours, pas même lorsque nous en avons besoin ; c’est à la mémoire de les garder et in la réminiscence de nous les représenter, comme elle fait souvent au besoin, mais non pas toujours."
L1_CH_01,"Cela s’appelle fort bien souvenir (subvenire), car la réminiscence demande quelque aide."
L1_CH_01,"Et il faut bien que dans cette multitude de nos connaissances nous soyons déterminés par quelque chose à renouveler l’une plutôt que l’autre, puisqu’il est impossible de penser distinctement tout à la fois à tout ce que nous savons."
L1_CH_01,"En cela, je crois que vous avez raison : et cette affirmation trop générale que nous nous apercevons toujours de toutes les vérités qui sont dans notre âme, m’est échappée sans que j’y aie donné assez d’attention."
L1_CH_01,Mais vous aurez un peu plus de peine à répondre à ce que je m’en vais vous représenter.
L1_CH_01,"C’est que, si on peut dire de quelque proposition en particulier qu’elle est innée, on pourra soutenir par la même raison que toutes les propositions, qui sont raisonnables et que l’esprit pourra toujours regarder comme telles, sont déjà imprimées dans l’âme."
L1_CH_01,"Je vous l’accorde à l’égard des idées pures, que j’oppose aux fantômes des sens, et à l’égard des vérités nécessaires ou de raison, que j’oppose aux vérités de fait."
L1_CH_01,"Dans ce sens, on doit dire que toute l’arithmétique et toute la géométrie sont innées et sont en nous d’une manière virtuelle, en sorte qu’on les y peut trouver en considérant attentivement et rangeant ce qu’on a déjà dans l’esprit, sans se servir d’aucune vérité apprise par l’expérience ou par la tradition d’autrui, comme Platon l’a montré dans un dialogue où il introduit Socrate menant un enfant à des vérités abstruses par les seules interrogations sans lui rien apprendre."
L1_CH_01,"On peut donc se fabriquer ces sciences dans son cabinet et même à yeux clos, sans apprendre par la vue ni même par l’attouchement les vérités dont on a besoin ; quoiqu’il soit vrai qu’on n’envisagerait pas les idées dont il s’agit, si l’on-n’avait rien vu ni touché."
L1_CH_01,"Car c’est par une admirable économie de la nature que nous ne saurions avoir des pensées abstraites qui n’aient point besoin de quelque chose de sensible, quand ce ne seraient que des caractères tels que sont les figures des lettres et les sons ; quoiqu’il n’y ait aucune connexion nécessaire entre tel caractères arbitraires et telles pensées."
L1_CH_01,"Et, si les traces sensibles n’étaient point requises, l’harmonie préétablie entre l’âme et le corps, dont j’aurai occasion de vous entretenir plus amplement, n’aurait point lieu."
L1_CH_01,Mais cela n’empêche point que l’esprit ne prenne les vérités nécessaires de chez soi.
L1_CH_01,"On voit aussi quelquefois combien il peut aller loin sans aucun aide, par une logique et arithmétique purement naturelles, comme ce garçon suédois qui, cultivant la sienne, va jusqu’à faire de grands calculs sur-le-champ dans sa tête, sans avoir appris la manière vulgaire de compter ni même à lire et à écrire, si je me souviens bien de ce qu’on m’a raconté."
L1_CH_01,"Il est vrai qu’il ne peut pas venir à bout des problèmes à rebours, tels que ceux qui demandent les extractions des racines."
L1_CH_01,Mais cela n’empêche point qu’il n’eût pu encore les tirer de son fond par quelque nouveau tour d’esprit.
L1_CH_01,Ainsi cela prouve seulement qu’il y a des degrés dans la difficulté qu’on a de s’apercevoir de ce qui est en nous.
L1_CH_01,"Il y a des principes innés qui sont communs et fort aisés à tous ; il y a des théorèmes qu’on découvre aussi d’abord et qui composent des sciences naturelles, qui sont plus étendues dans l’un que dans l’autre."
L1_CH_01,"Enfin, dans un sens plus ample qu’il est bon d’employer pour avoir des notions plus compréhensives et plus déterminées, toutes les vérités qu’on peut tirer des connaissances innées primitives se peuvent encore appeler innées, parce que l’esprit les peut tirer de son propre fond, quoique souvent ce ne soit pas une chose aisée."
L1_CH_01,"Mais, si quelqu’un donne un autre sens aux paroles, je ne veux point disputer des mots."
L1_CH_01,"Je vous ai accordé qu’on peut avoir dans l’âme ce qu’on n’y aperçoit pas, car on ne se souvient pas toujours à point nommé de tout ce que l’on sait, mais il faut toujours qu’on l’ait appris et qu’on l’ait connu autrefois expressément."
L1_CH_01,"Ainsi, si on peut dire qu’une chose est dans l’âme, quoique l’âme ne l’ait pas encore connue, ce ne peut être qu’à cause qu’elle a la capacité ou la faculté de la connaître."
L1_CH_01,"Pourquoi cela ne pourrait-il avoir encore une autre cause, telle que serait [celle-ci], que l’âme peut avoir cette chose en elle sans qu’on s’en soit aperçu ?"
L1_CH_01," Car, puisqu’une connaissance acquise y peut être cachée par la mémoire, comme vous en convenez, pourquoi la nature ne pourrait›elle pas y avoir aussi caché quelque connaissance originale ?"
L1_CH_01," Faut-il que tout ce qui est naturel à une substance qui se connaît, s’y connaisse d’abord actuellement ?"
L1_CH_01, Cette substance telle que notre âme ne peut et ne doit-elle pas avoir plusieurs propriétés et affections qu’il est impossible d’envisager toutes d’abord et tout à la fois ?
L1_CH_01," C’était l’opinion des platoniciens que toutes nos connaissances étaient des réminiscences, et qu’ainsi les vérités que l’âme a apportées avec la naissance de l’homme, et qu’on appelle innées, doivent être des restes d’une connaissance expresse antérieure."
L1_CH_01,Mais cette opinion n’a nul fondement.
L1_CH_01,"Et il est aisé de juger que l’âme devait avoir des connaissances innées dans l’état précédent (si la préexistence avait lieu), quelque reculé qu’il pourrait être, tout comme ici : elles devraient donc aussi venir d’un autre état précédent, où elles seraient enfin innées ou au moins congréées, ou bien il faudrait aller à l’infini et faire les âmes éternelles, auquel cas ces connaissances seraient innées en effet, parce qu’elles n’auraient jamais de commencement dans l’âme ; et, si quelqu’un prétendait que chaque état antérieur a eu quelque chose d’un autre plus antérieur, qu’il n’a point laissé aux suivants, on lui répondrait qu’il est manifeste que certaines vérités évidentes devraient avoir été de tous ces états."
L1_CH_01,"Et, de quelque manière qu’on se prenne, il est toujours clair, dans tous les états de l’âme ; que les vérités nécessaires sont innées et se prouvent par ce qui est interne, ne pouvant point être établies par les expériences, comme on établit par la les vérités de fait."
L1_CH_01,Pourquoi faudrait-il aussi qu’on ne pût rien posséder dans l’âme dont on ne se fût jamais servi ?
L1_CH_01, Avoir une chose sans s’en servir est-ce la même chose que d’avoir seulement la faculté de l’acquérir ?
L1_CH_01," Si cela était, nous ne posséderions jamais que des choses dont nous jouissons : au lieu qu’on sait qu’outre la faculté et l’objet, il faut souvent quelque disposition dans la faculté ou dans l’objet et dans tous les deux pour que la faculté s’exerce sur l’objet."
L1_CH_01,"À le prendre de cette manière-la, on pourra dire qu’il y a des vérités gravées dans l’âme, que l’âme n’a portant jamais connues, et que même elle ne connaîtra jamais, ce qui me paraît étrange."
L1_CH_01,"Je n’y vois aucune absurdité, quoique aussi on ne puisse point assurer qu’il y ait de telles vérités."
L1_CH_01,"Car des choses plus relevées que celles que nous pouvons connaître dans ce présent train de vie, se peuvent développer un jour dans nos âmes, quand elles seront dans un autre état."
L1_CH_01,"Mais, supposé qu’il y ait des vérités qui puissent être imprimées dans l’entendement sans qu’il les aperçoive, je ne vois pas comment, par rapport à leur origine, elles peuvent différer des vérités qu’il est seulement capable de connaître."
L1_CH_01,"L’esprit n’est pas seulement capable de les connaître, mais encore de les trouver en soi, et, s’il n’avait que la simple capacité de recevoir les connaissances ou la puissance passive pour cela, aussi indéterminée que celle qu’à la cire de recevoir des figures et la table rase de recevoir des lettres, il ne serait pas la source des vérités nécessaires, comme je viens de montrer qu’il l’est : car il est incontestable que les sens ne suffisent pas pour en faire voir la nécessite, et qu’ainsi l’esprit a une disposition (tant active que passive) pour les tirer lui-même de son fonds ; quoique les sens soient nécessaires pour lui donner de l’occasion et de l’attention pour cela, et pour le porter plutôt aux unes qu’aux autres."
L1_CH_01,"Vous voyez donc, Monsieur, que ces personnes, très habiles d’ailleurs, qui sont d’un autre sentiment, paraissent n’avoir pas assez médité sur les suites de la différence qu’il y a entre les vérités nécessaires ou éternelles, et entre les vérités d’expérience, comme je l’ai déjà remarqué, et comme toute notre contestation le montre."
L1_CH_01,"La preuve originaire des vérités nécessaires vient du seul entendement, et les autres vérités viennent des expériences ou des observations des sens."
L1_CH_01,"Notre esprit est capable de connaître les unes et les autres, mais il est la source des premières, et, quelque nombre d’expériences particulières qu’on puisse avoir d’une vérité universelle, on ne saurait s’en assurer pour toujours par l’induction, sans en connaître la nécessité par la raison."
L1_CH_01,"Mais n’est-il pas vrai que, si ces mots : être dans l’entendement, emportent quelque chose de positif, ils signifient être aperçu et compris par l’entendement ?"
L1_CH_01,
L1_CH_01,"Ils nous signifient tout autre chose : c’est assez que ce qui est dans l’entendement y puisse être trouvé et que les sources ou preuves originaires des vérités dont il s’agit ne soient que dans l’entendement : les sens peuvent insinuer, justifier et confirmer ces vérités, mais non pas en démontrer la certitude immanquable et perpétuelle."
L1_CH_01,Cependant tous ceux qui voudront prendre la peine de réfléchir avec un peu d’attention sur les opérations de l’entendement trouveront que ce consentement que l’esprit donne sans peine à certaines vérités dépend de la faculté de l’esprit humain.
L1_CH_01,"Fort bien ; mais c’est ce rapport particulier de l’esprit humain à ces vérités, qui rend l’exercice de la faculté aisé et naturel à leur égard, et qui fait qu’on les appelle innées."
L1_CH_01,"Ce n’est donc pas une faculté nue qui consiste dans la seule possibilité de les entendre : c’est une disposition, une aptitude, une préformation, qui détermine notre âme et qui fait qu’elles en peuvent être tirées."
L1_CH_01,"Tout comme il y a de la différence entre les figures qu’on donne à la pierre ou au marbre indifféremment, et entre celles que ses veines marquent déjà ou sont disposées à marquer si l’ouvrier en profite."
L1_CH_01,Mais n’est-il point vrai que les vérités sont postérieures aux idées dont elles naissent ?
L1_CH_01, Or les idées viennent des sens.
L1_CH_01,"Les idées intellectuelles, qui sont la source des vérités nécessaires, ne viennent point des sens ; et vous reconnaissez qu’il y a des idées qui sont dues à la réflexion de l’esprit lorsqu’il réfléchit sur soi-même."
L1_CH_01,"Au reste, il est vrai que la connaissance expresse des vérités est postérieure (tempore vel natura) à la connaissance expresse des idées, comme la nature des vérités dépend de la nature des idées, avant qu’on forme expressément les unes et les autres ; et les vérités où entrent les idées qui viennent des sens, dépendent des sens, au moins en partie."
L1_CH_01,"Mais les idées qui viennent des sens sont confuses, et les vérités qui en dépendent le sont aussi, au moins en partie, au lieu que les idées intellectuelles et les vérités qui en dépendent sont distinctes, et ni les unes ni les autres n’ont point leur origine des sens ; quoiqu’il soit vrai que nous n’y penserions jamais sans les sens."
L1_CH_01,"Mais, selon vous, les nombres sont des idées intellectuelles et cependant il se trouve que la difficulté y dépend de la formation expresse des idées ; par exemple un homme sait que 18 et 19 sont égaux à 37, avec la même évidence qu’il sait qu’un et deux sont égaux à trois ; mais pourtant un enfant ne connaît pas la première proposition sitôt que la seconde, ce qui vient de ce qu’il n’a pas sitôt formé les idées que les mots."
L1_CH_01,Je puis vous accorder que souvent la difficulté qu’il y a dans la formation expresse des vérités dépend de celle qu’il y a dans la formation expresse des idées.
L1_CH_01,"Cependant je crois que dans votre exemple, il s’agit de se servir des idées déjà formées."
L1_CH_01,"Car ceux qui ont appris à compter jusqu’à 10 et la manière de passer plus avant par une certaine réplication de dizaines, entendent sans peine ce que c’est que 18, 19, 37, savoir une, deux ou trois fois 10, avec 8, ou 9, ou 7 ; mais pour en tirer que 18 plus 19 fait 37, il faut bien plus d’attention que pour connaître que 2 plus 1 sont 3, ce qui dans le fond n’est que la définition de trois."
